"url","found","file_type","content_length","cached","error","search_string","search_date","domain"
NA,FALSE,"unknown",0,FALSE,"Could not resolve hostname [NA]: Could not resolve host: NA","ecosystem approach|ecosystem indicator|ecosystem report|ecosystem status|ecosystem based","2025-08-28","https://www.pcouncil.org"
"https://www.pcouncil.org/documents/2019/06/fs26-powerpoint-tips.pdf",FALSE,"pdf",9150,FALSE,NA,"ecosystem approach|ecosystem indicator|ecosystem report|ecosystem status|ecosystem based","2025-08-28","https://www.pcouncil.org"
"https://www.pcouncil.org/documents/2023/08/september-2023-council-meeting-agenda.pdf",FALSE,"pdf",30541,FALSE,NA,"ecosystem approach|ecosystem indicator|ecosystem report|ecosystem status|ecosystem based","2025-08-28","https://www.pcouncil.org"
"https://www.pcouncil.org/documents/2021/05/june-2021-meeting-notice-and-detailed-agenda.pdf",FALSE,"pdf",34926,FALSE,NA,"ecosystem approach|ecosystem indicator|ecosystem report|ecosystem status|ecosystem based","2025-08-28","https://www.pcouncil.org"
"https://www.pcouncil.org/documents/2021/03/april-2021-meeting-notice-and-detailed-agenda.pdf",FALSE,"pdf",37299,FALSE,NA,"ecosystem approach|ecosystem indicator|ecosystem report|ecosystem status|ecosystem based","2025-08-28","https://www.pcouncil.org"
"https://www.pcouncil.org/documents/2021/07/april-2021-transcripts.pdf",FALSE,"pdf",641374,FALSE,NA,"ecosystem approach|ecosystem indicator|ecosystem report|ecosystem status|ecosystem based","2025-08-28","https://www.pcouncil.org"
"https://www.pcouncil.org/documents/2021/01/march-2021-meeting-notice-and-detailed-agenda.pdf",TRUE,"pdf",41200,FALSE,NA,"ecosystem approach|ecosystem indicator|ecosystem report|ecosystem status|ecosystem based","2025-08-28","https://www.pcouncil.org"
"https://www.pcouncil.org/documents/2021/07/march-2021-transcripts.pdf",TRUE,"pdf",635701,FALSE,NA,"ecosystem approach|ecosystem indicator|ecosystem report|ecosystem status|ecosystem based","2025-08-28","https://www.pcouncil.org"
"https://www.pcouncil.org/documents/2021/04/november-2020-meeting-record.pdf",FALSE,"pdf",104718,FALSE,NA,"ecosystem approach|ecosystem indicator|ecosystem report|ecosystem status|ecosystem based","2025-08-28","https://www.pcouncil.org"
"https://www.pcouncil.org/documents/2020/10/november-2020-meeting-notice-and-detailed-agenda.pdf",FALSE,"pdf",36994,FALSE,NA,"ecosystem approach|ecosystem indicator|ecosystem report|ecosystem status|ecosystem based","2025-08-28","https://www.pcouncil.org"
